product name,serial no ,plan type,type,users,expiry date,company,designation,contact person,mobile,landline,email,addres 1 ,address 2,city,state,in sell ,out sell,dealer,status ,remarks   
Seqrite Endpoint Business,2F5F61561015B7E100A7,None,EPS,5,2020-02-02,Adinath Sona Medicals,HR,Kamal ,7073334386,7073334386,"it.jaiput@clarksinn.in,writerish07@gmail.com",add1 ,add2,Jaipur,RAJASTHA ,,Computer Garage,xyz,LOST ,Remarks updated
Seqrite Endpoint  Total,2F5F61561015B7E100A8,None,EPS,15,2023-01-04,Akar Palm Hotel & Resorts Pvt Ltd,Director,Dipankar,7073334386,7073334386,"it.jaiput@clarksinn.in,writerish07@gmail.com",add1 ,add2,Jaipur,RAJASTHA ,,BISPL,xyz,CLOSED WON,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A9,None,EPS,180,2022-01-11,akme fintrade(I) Ltd.,HR,khubi,2942489501,2942489501,akmefintrade@yahoo.com,add1 ,add2,Udaipur,RAJASTHA ,,Computer Garage,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A10,None,EPS,28,2018-02-28,All india radio jaipur,Director,Rajesh,9413753177,9413753177,jaipur@air.org.in,add1 ,add2,Jaipur,RAJASTHA ,,BISPL,xyz,LOST ,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A11,None,EPS,5,2021-01-16,ASES CHEMICAL WORKS,HR,Kamal ,9414126152,9414126152,aseschem@gmail.com,add1 ,add2,Jodhpur,RAJASTHA ,,Frontline Computers,xyz,CLOSED WON,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A12,None,EPS,64,2023-03-10,Basant,Director,Dipankar,Ashok Jangid-7221860262,Ashok Jangid-7221860262,it@basant.info,add1 ,add2,JODHPUR,RAJASTHA ,,SHREE BALAJI TECHNOLOGIES,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Business,2F5F61561015B7E100A13,None,EPS,10,2020-12-06,BHILWARA URBAN CO.BANK,HR,Kamal ,9798798798,9798798798,rajesh123@gmail.com,add1 ,add2,Bhilwara,RAJASTHA ,,compusys,xyz,LOST ,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A14,None,EPS,135,2020-10-06,BMCHRC,Director,Kamal ,10584335548,10584335548,"it.jaiput@clarksinn.in,writerish07@gmail.com",add1 ,add2,Jaipur,RAJASTHA ,,TINU INTERNATIONAL,xyz,CLOSED WON,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A15,None,EPS,10,2021-01-08,Bomabay Hospital Trust Jaipur,HR,Dipankar,9820628047,9820628047,"it.jaiput@clarksinn.in,writerish07@gmail.com",add1 ,add2,Jaipur,RAJASTHA ,,Wi2Fi Networks,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A16,None,EPS,15,2019-02-05,BRYS FORT HOTEL,Director,khubi,10584335548,10584335548,"it.jaiput@clarksinn.in,writerish07@gmail.com",add1 ,add2,Jodhpur,RAJASTHA ,,Creadent Solutions,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A17,None,EPS,135,2020-12-06,BHILWARA URBAN CO.BANK,HR,Rajesh,11933699445,11933699445,akmefintrade@yahoo.com,add1 ,add2,Jaipur,RAJASTHA ,,Computer Garage,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A18,None,EPS,10,2021-01-08,BMCHRC,Director,Kamal ,13283063342,13283063342,jaipur@air.org.in,add1 ,add2,Jaipur,RAJASTHA ,,BISPL,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A19,None,EPS,15,2020-12-06,Bomabay Hospital Trust Jaipur,HR,Dipankar,14632427240,14632427240,aseschem@gmail.com,add1 ,add2,Udaipur,RAJASTHA ,,Computer Garage,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A20,None,EPS,135,2021-01-08,BRYS FORT HOTEL,Director,Kamal ,Ashok Jangid-7221860262,Ashok Jangid-7221860262,it@basant.info,add1 ,add2,Jaipur,RAJASTHA ,,BISPL,xyz,QUOTED,Remarks updated
